"77bf74fa-9072-498e-b533-2be7a9f80cc3","catherine garcia reimbert|antonmaria a. minzoni|t. r. marchant|noel f. smyth|annette l. worthy","reimbert, c.|minzoni, a. a.|marchant, t. r.|smyth, n. f.|worthy, a. l."
"49804fad-90af-4ad7-aa30-bcee8aa4d3f8","iain bethune|elena breitmoser|antonia collis|gianpaolo gobbo|benedict leimkuhler","bethune, i.|breitmoser, e.|collis, a.|gobbo, g.|leimkuhler, b."
"b36137a1-4a29-4529-8555-580c1a898dec","jose gonzalez|milena hering|sam payne|hendrik suess","gonzalez, j.|hering, m.|payne, s. |suess, h."
"4ff06b66-1824-4a21-bb56-d294b5a39b87","máté gerencsér|istvan gyongy|nicolai krylov","r, m.|gyongy, i.|krylov, n."
"e35ad09e-0a7e-4680-a6b8-d17318d805ed","ivana bozic|tibor antal|hisashi ohtsuki|hannah carter|dewey kim|sining chen|rachel karchin|kenneth w. kinzler|bert bogelstein|martin a. nowak","bozic, i.|antal, t.|ohtsuki, h.|carter, h.|kim, d.|chen, s.|karchin, r.|kinzler, k. w.|bogelstein, b. |nowak, m. a."
"a7b402a9-e9d1-4125-99a0-74e690dba6d5","amy wilson|colin aitken|richard sleeman|james carter","wilson, a.|aitken, c.|sleeman, r. |carter, j."
"562203da-d78e-43ab-9fdd-dba229606064","alessandro alberucci|gaetano assanto|daniel buccoliero|anton s. desyatnikov|timothy r. marchant|noel f. smyth","alberucci, a.|assanto, g.|buccoliero, d.|desyatnikov, a. s.|marchant, t. r. |smyth, n. f."
"3e6a1ec8-0d7d-4cce-a5cb-5444b6322c1a","aram karakhanyan|luis caffarelli","karakhanyan, a.|caffarelli, l."
"09dc9810-1462-4619-a343-cb701cd67c85","j. r. gair|and 82 others","gair, j. r.|lentati, l.|shannon, r. m.|coles, w. a.|verbiest, j. p. w.|haasteren, r. v.|ellis, j. a.|caballero, r. n.|manchester, r. n.|arzoumanian, z.|babak, s.|bassa, c. g.|bhat, n. d. r.|brem, p.|burgay, m.|spolaor, s.|champion, d.|chatterjee, s.|cognard, i.|cordes, j. m.|dai, s.|demorest, p.|desvignes, g.|dolch, t.|ferdman, r. d.|fonseca, e.|gonzalez, m. e.|graikou, e.|guillemot, l.|hessels, j. w. t.|hobbs, g.|janssen, g. h.|jones, g.|karuppusamy, r.|keith, m.|kerr, m.|kramer, m.|lam, m. t.|lasky, p. d.|lassus, a.|lazarus, p.|lazio, t. j. w.|lee, k. j.|levin, l.|liu, k.|lynch, r. s.|madison, d. r.|mckee, j.|mclaughlin, m.|mcwilliams, s. t.|mingarelli, c. m. f.|nice, d. j.|owski, s.|pennucci, t. t.|perera, b. b. p.|perrodin, d.|petiteau, a.|possenti, a.|ransom, s. m.|reardon, d.|rosado, p. a.|sanidas, s. a.|sesana, a.|shaifullah, g.|siemens, x.|smits, r.|stairs, i.|stappers, b.|stinebring, d. r.|stovall, k.|swiggum, j.|taylor, s. r.|theureau, g.|tiburzi, c.|toomey, l.|vallisneri, m.|straten, w. v.|vecchio, a.|wang, j. |wang, y.|you, x. p.|zhu, w. w. |zhu, x. "
"09f0e05b-e503-4150-b649-d5d2c900de35","geir-arne fuglstad|daniel simpson|finn lindgren|håvard rue","fuglstad, g|simpson, d.|lindgren, f.|rue, h."
"b994495b-de9f-45f9-861e-3ccb5a43159b","nikolaos bournaveas|timothy candy|shuji machihara","bournaveas, n.|candy, t. |machihara, s."
"44a0c081-31bf-49c7-8fcd-11784a37595c","tom g. mackay|akhlesh lakhtakia|andrew j. duncan","mackay, t. g.|lakhtakia, a. |duncan, a. j."
"9d5479ba-374f-4212-9615-87e06efa0b35","thomas leinster","leinster, t."
