pub_id,date,year,title,authors,pub_url,doi_url,pdf_url,abstract,publications
c988d26f-3f27-4beb-af6a-211fd89b47d1,Jul 2015,2015,derived deformations of artin stacks,j. p. pridham,http://www.research.ed.ac.uk/portal/en/publications/derived-deformations-of-artin-stacks(c988d26f-3f27-4beb-af6a-211fd89b47d1).html,http://dx.doi.org/10.4310/CAG.2015.v23.n3.a1,UNKNOWN,"we generalise the techniques of [16] to describe derived deformations in simplicial categories. this allows us to consider deformation problems with higher automorphisms, such as chain complexes (which have homotopies) and stacks (which have 2-automorphisms).",communications in analysis and geometry
6996d702-ddfb-4401-aea3-fbb72d6a9ad7,16 Oct 2017,2017,assessing the contribution of nightly rechargeable gridscale storage to generation capacity adequacy,gruffudd edwards|sarah sheehy|christopher dent|matthias c.m. troffaes,http://www.research.ed.ac.uk/portal/en/publications/assessing-the-contribution-of-nightly-rechargeable-gridscale-storage-to-generation-capacity-adequacy(6996d702-ddfb-4401-aea3-fbb72d6a9ad7).html,http://dx.doi.org/10.1016/j.segan.2017.09.005,http://www.research.ed.ac.uk/portal/files/46755724/1_s2.0_S2352467716302211_main.pdf,"this paper is concerned with assessing the contribution of grid-scale storage to generation capacity adequacy. results are obtained for a utility-scale exemplar involving the great britain power system. all stores are assumed, for the purpose of capacity adequacy assessment, to be centrally controlled by the system operator, with the objective of minimising the expected energy not served over the peak demand season. the investigation is limited to stores that are sufficiently small such that discharge on one day does not restrict their ability to support adequacy on subsequent days. we argue that for such stores, the central control assumption does not imply loss of generality for the results.","sustainable energy, grids and networks"
88b2dc37-6ccb-4a57-b624-6ebb6d39e03a,14 Nov 2014,2014,system size expansion using feynman rules and diagrams,philipp thomas|christian fleck|ramon grima|nikola popovic,http://www.research.ed.ac.uk/portal/en/publications/system-size-expansion-using-feynman-rules-and-diagrams(88b2dc37-6ccb-4a57-b624-6ebb6d39e03a).html,http://dx.doi.org/10.1088/1751-8113/47/45/455007,UNKNOWN,unknown,journal of physics a-mathematical and theoretical
b910b93a-aa60-4423-a861-1bb07ebd4c87,11 Aug 2004,2004,nonstationary hyperaccretion of stellarmass black holes in three dimensions torus evolution and neutrino emission,s setiawan|m ruffert|h t janka,http://www.research.ed.ac.uk/portal/en/publications/nonstationary-hyperaccretion-of-stellarmass-black-holes-in-three-dimensions-torus-evolution-and-neutrino-emission(b910b93a-aa60-4423-a861-1bb07ebd4c87).html,http://dx.doi.org/10.1111/j.1365-2966.2004.07974.x,UNKNOWN,unknown,monthly notices of the royal astronomical society
d57c3adc-4766-4602-9413-34f6a4d35dc0,2011,2011,improved algorithms for convex minimization in relative scale,peter richtarik,http://www.research.ed.ac.uk/portal/en/publications/improved-algorithms-for-convex-minimization-in-relative-scale(d57c3adc-4766-4602-9413-34f6a4d35dc0).html,http://dx.doi.org/10.1137/090747142,http://www.research.ed.ac.uk/portal/files/1857726/rel.scaleSIOPT.pdf,unknown,siam journal on optimization
f026e299-fe3f-4cec-9606-5bc6f5c22d1f,1 Oct 2008,2008,asymptotic description of solitary wave trains in fully nonlinear shallowwater theory,g. a. el|r. h. j. grimshaw|n. f. smyth,http://www.research.ed.ac.uk/portal/en/publications/asymptotic-description-of-solitary-wave-trains-in-fully-nonlinear-shallowwater-theory(f026e299-fe3f-4cec-9606-5bc6f5c22d1f).html,http://dx.doi.org/10.1016/j.physd.2008.03.031,UNKNOWN,unknown,physica d - nonlinear phenomena
b37b872c-c0d5-4205-ad77-70d3c0e73ddc,Mar 2015,2015,mist molecular integration simulation toolkit,iain bethune|elena breitmoser|gianpaolo gobbo|charles matthews|benedict leimkuhler,http://www.research.ed.ac.uk/portal/en/publications/mist-molecular-integration-simulation-toolkit(b37b872c-c0d5-4205-ad77-70d3c0e73ddc).html,UNKNOWN,http://www2.epcc.ed.ac.uk/~ibethune/files/MIST-CMS2015.pdf,unknown,UNKNOWN
0717ce81-4ec6-46a6-9c7f-cce8f690bb79,1999,1999,samplinghow big a sample,c g aitken,http://www.research.ed.ac.uk/portal/en/publications/samplinghow-big-a-sample(0717ce81-4ec6-46a6-9c7f-cce8f690bb79).html,UNKNOWN,UNKNOWN,"it is thought that, in a consignment of discrete units, a certain proportion of the units contain illegal material. a sample of the consignment is to be inspected. various methods for the determination of the sample size are compared. the consignment will be considered as a random sample from some super-population of units, a certain proportion of which contain drugs. for large consignments, a probability distribution, known as the beta distribution, for the proportion of the consignment which contains illegal material is obtained. this distribution is based on prior beliefs about the proportion. under certain specific conditions the beta distribution gives the same numerical results as an approach based on the binomial distribution. the binomial distribution provides a probability for the number of units in a sample which contain illegal material, conditional on knowing the proportion of the consignment which contains illegal material. this is in contrast to the beta distribution which provides probabilities for the proportion of a consignment which contains illegal material, conditional on knowing the number of units in the sample which contain illegal material. the interpretation when the beta distribution is used is much more intuitively satisfactory. it is also much more flexible in its ability to cater for prior beliefs which may vary given the different circumstances of different crimes. for small consignments, a distribution, known as the beta-binomial distribution, for the number of units in the consignment which are found to contain illegal material, is obtained, based on prior beliefs about the number of units in the consignment which are thought to contain illegal material. as with the beta and binomial distributions for large samples, it is shown that, in certain specific conditions, the beta-binomial and hypergeometric distributions give the same numerical results. however, the beta-binomial distribution, as with the beta distribution, has a more intuitively satisfactory interpretation and greater flexibility. the beta and the beta-binomial distributions provide methods for the determination of the minimum sample size to be taken from a consignment in order to satisfy a certain criterion. the criterion requires the specification of a proportion and a probability.",journal of forensic sciences
b7353bf1-11e4-4263-8de8-b2b4865296ab,8 Nov 2010,2010,near horizon limits of massless btz and their cft duals,jan de boer|m. m. sheikh-jabbari|joan simon,http://www.research.ed.ac.uk/portal/en/publications/near-horizon-limits-of-massless-btz-and-their-cft-duals(b7353bf1-11e4-4263-8de8-b2b4865296ab).html,http://dx.doi.org/10.1088/0264-9381/28/17/175012,http://www.research.ed.ac.uk/portal/files/8676902/Near_horizon_limits_of_massless_BTZ_and_their_CFT_duals.pdf,"we consider the massless btz black hole and show that it is possible to take its ""near horizon"" limit in two distinct ways. the first one leads to a null self-dual orbifold of ads3 and the second to a spacelike singular ads3/z_k orbifold in the large k limit, the ""pinching orbifold"". we show that from the dual 2d cft viewpoint, the null orbifold corresponds to the p^+=0 sector of the discrete light-cone quantisation (dlcq) of the 2d cft where a chiral sector of the cft is decoupled, while the pinching orbifold corresponds to taking an infinite mass gap limit in both the right and left sectors of the 2d cft, essentially leaving us with the states l_0=\bar l_0=c/24 only. in the latter case, one can combine the near horizon limit with sending the 3d planck length l_p to zero, or equivalently the dual cft central charge c to infinity. we provide preliminary evidence that in that case some nontrivial dynamics may survive the limit.",classical and quantum gravity
ae7f3657-db36-4873-82c8-c8f06e393f3c,2003,2003,merging neutron star  black hole binaries,m ruffert|h t janka,http://www.research.ed.ac.uk/portal/en/publications/merging-neutron-star--black-hole-binaries(ae7f3657-db36-4873-82c8-c8f06e393f3c).html,UNKNOWN,UNKNOWN,unknown,"gamma-ray burst and afterglow astronomy 2001,melville,american institute of physics"
