"nicola osborne","and 22 others"
"elaine farrow","sophie lycouris"
"elaine farrow","and 22 others"
"sophie lycouris","and 22 others"
"nicola osborne","elaine farrow"
"nicola osborne","sophie lycouris"
"nicola osborne","and 22 others"
"elaine farrow","sophie lycouris"
"elaine farrow","and 22 others"
"sophie lycouris","and 22 others"
"myroslava dzikovska","natalie steinhauser"
"myroslava dzikovska","elaine farrow"
"myroslava dzikovska","johanna moore"
"myroslava dzikovska","gwendolyn campbell"
"natalie steinhauser","elaine farrow"
"natalie steinhauser","johanna moore"
"natalie steinhauser","gwendolyn campbell"
"elaine farrow","johanna moore"
"elaine farrow","gwendolyn campbell"
"johanna moore","gwendolyn campbell"
"a. mahmood","m. bennamoun"
"a. mahmood","s. an"
"a. mahmood","f. sohel"
"a. mahmood","f. boussaid"
"a. mahmood","r. hovey"
"a. mahmood","g. kendrick"
"a. mahmood","r. b. fisher"
"m. bennamoun","s. an"
"m. bennamoun","f. sohel"
"m. bennamoun","f. boussaid"
"m. bennamoun","r. hovey"
"m. bennamoun","g. kendrick"
"m. bennamoun","r. b. fisher"
"s. an","f. sohel"
"s. an","f. boussaid"
"s. an","r. hovey"
"s. an","g. kendrick"
"s. an","r. b. fisher"
"f. sohel","f. boussaid"
"f. sohel","r. hovey"
"f. sohel","g. kendrick"
"f. sohel","r. b. fisher"
"f. boussaid","r. hovey"
"f. boussaid","g. kendrick"
"f. boussaid","r. b. fisher"
"r. hovey","g. kendrick"
"r. hovey","r. b. fisher"
"g. kendrick","r. b. fisher"
"xiao liu","robert fisher"
"graham d. finlayson","han  gong"
"graham d. finlayson","robert fisher"
"han  gong","robert fisher"
"samuel läubli","ulrich germann"
"sameer bansal","herman kamper"
"sameer bansal","adam lopez"
"sameer bansal","sharon goldwater"
"herman kamper","adam lopez"
"herman kamper","sharon goldwater"
"adam lopez","sharon goldwater"
"philippa shoemark","debnil sur"
"philippa shoemark","luke shrimpton"
"philippa shoemark","iain murray"
"philippa shoemark","sharon goldwater"
"debnil sur","luke shrimpton"
"debnil sur","iain murray"
"debnil sur","sharon goldwater"
"luke shrimpton","iain murray"
"luke shrimpton","sharon goldwater"
"iain murray","sharon goldwater"
"toms bergmanis","sharon goldwater"
"antti kangasrääsiö","yi chen"
"antti kangasrääsiö","dorota glowacka"
"antti kangasrääsiö","samuel kaski"
"yi chen","dorota glowacka"
"yi chen","samuel kaski"
"dorota glowacka","samuel kaski"
"germán sanchis-trilles","vicent alabau"
"germán sanchis-trilles","christian buck"
"germán sanchis-trilles","michael carl"
"germán sanchis-trilles","francisco casacuberta"
"germán sanchis-trilles","mercedes garcía-martínez"
"germán sanchis-trilles","ulrich germann"
"germán sanchis-trilles","jesús gonzález-rubio"
"germán sanchis-trilles","robin l. hill"
"germán sanchis-trilles","philipp koehn"
"germán sanchis-trilles","luis a. leiva"
"germán sanchis-trilles","bartolomé mesa-lao"
"germán sanchis-trilles","daniel ortiz-martínez"
"germán sanchis-trilles","herve saint-amand"
"germán sanchis-trilles","chara tsoukala"
"germán sanchis-trilles","enrique vidal"
"vicent alabau","christian buck"
"vicent alabau","michael carl"
"vicent alabau","francisco casacuberta"
"vicent alabau","mercedes garcía-martínez"
"vicent alabau","ulrich germann"
"vicent alabau","jesús gonzález-rubio"
"vicent alabau","robin l. hill"
"vicent alabau","philipp koehn"
"vicent alabau","luis a. leiva"
"vicent alabau","bartolomé mesa-lao"
"vicent alabau","daniel ortiz-martínez"
"vicent alabau","herve saint-amand"
"vicent alabau","chara tsoukala"
"vicent alabau","enrique vidal"
"christian buck","michael carl"
"christian buck","francisco casacuberta"
"christian buck","mercedes garcía-martínez"
"christian buck","ulrich germann"
"christian buck","jesús gonzález-rubio"
"christian buck","robin l. hill"
"christian buck","philipp koehn"
"christian buck","luis a. leiva"
"christian buck","bartolomé mesa-lao"
"christian buck","daniel ortiz-martínez"
"christian buck","herve saint-amand"
"christian buck","chara tsoukala"
"christian buck","enrique vidal"
"michael carl","francisco casacuberta"
"michael carl","mercedes garcía-martínez"
"michael carl","ulrich germann"
"michael carl","jesús gonzález-rubio"
"michael carl","robin l. hill"
"michael carl","philipp koehn"
"michael carl","luis a. leiva"
"michael carl","bartolomé mesa-lao"
"michael carl","daniel ortiz-martínez"
"michael carl","herve saint-amand"
"michael carl","chara tsoukala"
"michael carl","enrique vidal"
"francisco casacuberta","mercedes garcía-martínez"
"francisco casacuberta","ulrich germann"
"francisco casacuberta","jesús gonzález-rubio"
"francisco casacuberta","robin l. hill"
"francisco casacuberta","philipp koehn"
"francisco casacuberta","luis a. leiva"
"francisco casacuberta","bartolomé mesa-lao"
"francisco casacuberta","daniel ortiz-martínez"
"francisco casacuberta","herve saint-amand"
"francisco casacuberta","chara tsoukala"
"francisco casacuberta","enrique vidal"
"mercedes garcía-martínez","ulrich germann"
"mercedes garcía-martínez","jesús gonzález-rubio"
"mercedes garcía-martínez","robin l. hill"
"mercedes garcía-martínez","philipp koehn"
"mercedes garcía-martínez","luis a. leiva"
"mercedes garcía-martínez","bartolomé mesa-lao"
"mercedes garcía-martínez","daniel ortiz-martínez"
"mercedes garcía-martínez","herve saint-amand"
"mercedes garcía-martínez","chara tsoukala"
"mercedes garcía-martínez","enrique vidal"
"ulrich germann","jesús gonzález-rubio"
"ulrich germann","robin l. hill"
"ulrich germann","philipp koehn"
"ulrich germann","luis a. leiva"
"ulrich germann","bartolomé mesa-lao"
"ulrich germann","daniel ortiz-martínez"
"ulrich germann","herve saint-amand"
"ulrich germann","chara tsoukala"
"ulrich germann","enrique vidal"
"jesús gonzález-rubio","robin l. hill"
"jesús gonzález-rubio","philipp koehn"
"jesús gonzález-rubio","luis a. leiva"
"jesús gonzález-rubio","bartolomé mesa-lao"
"jesús gonzález-rubio","daniel ortiz-martínez"
"jesús gonzález-rubio","herve saint-amand"
"jesús gonzález-rubio","chara tsoukala"
"jesús gonzález-rubio","enrique vidal"
"robin l. hill","philipp koehn"
"robin l. hill","luis a. leiva"
"robin l. hill","bartolomé mesa-lao"
"robin l. hill","daniel ortiz-martínez"
"robin l. hill","herve saint-amand"
"robin l. hill","chara tsoukala"
"robin l. hill","enrique vidal"
"philipp koehn","luis a. leiva"
"philipp koehn","bartolomé mesa-lao"
"philipp koehn","daniel ortiz-martínez"
"philipp koehn","herve saint-amand"
"philipp koehn","chara tsoukala"
"philipp koehn","enrique vidal"
"luis a. leiva","bartolomé mesa-lao"
"luis a. leiva","daniel ortiz-martínez"
"luis a. leiva","herve saint-amand"
"luis a. leiva","chara tsoukala"
"luis a. leiva","enrique vidal"
"bartolomé mesa-lao","daniel ortiz-martínez"
"bartolomé mesa-lao","herve saint-amand"
"bartolomé mesa-lao","chara tsoukala"
"bartolomé mesa-lao","enrique vidal"
"daniel ortiz-martínez","herve saint-amand"
"daniel ortiz-martínez","chara tsoukala"
"daniel ortiz-martínez","enrique vidal"
"herve saint-amand","chara tsoukala"
"herve saint-amand","enrique vidal"
"chara tsoukala","enrique vidal"
"martin pullinger","nigel goddard"
"martin pullinger","janette webb"
"nigel goddard","janette webb"
"herman kamper","aren jansen"
"herman kamper","sharon goldwater"
"aren jansen","sharon goldwater"
"omri abend","tom kwiatkowski"
"omri abend","nathaniel j. smith"
"omri abend","sharon goldwater"
"omri abend","mark steedman"
"tom kwiatkowski","nathaniel j. smith"
"tom kwiatkowski","sharon goldwater"
"tom kwiatkowski","mark steedman"
"nathaniel j. smith","sharon goldwater"
"nathaniel j. smith","mark steedman"
"sharon goldwater","mark steedman"
"e. maclean","a. ireland"
"e. maclean","g. grov"
"a. ireland","g. grov"
"iain whiteside","david aspinall"
"iain whiteside","lucas dixon"
"iain whiteside","gudmund grov"
"david aspinall","lucas dixon"
"david aspinall","gudmund grov"
"lucas dixon","gudmund grov"
"cliff b. jones","gudmund grov"
"cliff b. jones","alan bundy"
"gudmund grov","alan bundy"
"yuhui lin","alan bundy"
"yuhui lin","gudmund grov"
"alan bundy","gudmund grov"
"i. whiteside","d. aspinall"
"i. whiteside","g. grov"
"d. aspinall","g. grov"
"ewen maclean","andrew ireland"
"ewen maclean","gudmund grov"
"andrew ireland","gudmund grov"
"andrew ireland","gudmund grov"
"andrew ireland","maria teresa llano"
"andrew ireland","michael butler"
"gudmund grov","maria teresa llano"
"gudmund grov","michael butler"
"maria teresa llano","michael butler"
"heng guo","mark jerrum"
"sharid loáiciga","liane guillou"
"sharid loáiciga","christian hardmeier"
"liane guillou","christian hardmeier"
"antonio jimeno yepes","aurelie neveol"
"antonio jimeno yepes","mariana neves"
"antonio jimeno yepes","karin verspoor"
"antonio jimeno yepes","ondrej bojar"
"antonio jimeno yepes","arthur boyer"
"antonio jimeno yepes","cristian grozea"
"antonio jimeno yepes","barry haddow"
"antonio jimeno yepes","madeleine kittner"
"antonio jimeno yepes","yvonne lichtblau"
"antonio jimeno yepes","pavel pecina"
"antonio jimeno yepes","roland roller"
"antonio jimeno yepes","rudolf rosa"
"antonio jimeno yepes","amy siu"
"antonio jimeno yepes"," philippe thomas"
"antonio jimeno yepes","saskia trescher"
"aurelie neveol","mariana neves"
"aurelie neveol","karin verspoor"
"aurelie neveol","ondrej bojar"
"aurelie neveol","arthur boyer"
"aurelie neveol","cristian grozea"
"aurelie neveol","barry haddow"
"aurelie neveol","madeleine kittner"
"aurelie neveol","yvonne lichtblau"
"aurelie neveol","pavel pecina"
"aurelie neveol","roland roller"
"aurelie neveol","rudolf rosa"
"aurelie neveol","amy siu"
"aurelie neveol"," philippe thomas"
"aurelie neveol","saskia trescher"
"mariana neves","karin verspoor"
"mariana neves","ondrej bojar"
"mariana neves","arthur boyer"
"mariana neves","cristian grozea"
"mariana neves","barry haddow"
"mariana neves","madeleine kittner"
"mariana neves","yvonne lichtblau"
"mariana neves","pavel pecina"
"mariana neves","roland roller"
"mariana neves","rudolf rosa"
"mariana neves","amy siu"
"mariana neves"," philippe thomas"
"mariana neves","saskia trescher"
"karin verspoor","ondrej bojar"
"karin verspoor","arthur boyer"
"karin verspoor","cristian grozea"
"karin verspoor","barry haddow"
"karin verspoor","madeleine kittner"
"karin verspoor","yvonne lichtblau"
"karin verspoor","pavel pecina"
"karin verspoor","roland roller"
"karin verspoor","rudolf rosa"
"karin verspoor","amy siu"
"karin verspoor"," philippe thomas"
"karin verspoor","saskia trescher"
"ondrej bojar","arthur boyer"
"ondrej bojar","cristian grozea"
"ondrej bojar","barry haddow"
"ondrej bojar","madeleine kittner"
"ondrej bojar","yvonne lichtblau"
"ondrej bojar","pavel pecina"
"ondrej bojar","roland roller"
"ondrej bojar","rudolf rosa"
"ondrej bojar","amy siu"
"ondrej bojar"," philippe thomas"
"ondrej bojar","saskia trescher"
"arthur boyer","cristian grozea"
"arthur boyer","barry haddow"
"arthur boyer","madeleine kittner"
"arthur boyer","yvonne lichtblau"
"arthur boyer","pavel pecina"
"arthur boyer","roland roller"
"arthur boyer","rudolf rosa"
"arthur boyer","amy siu"
"arthur boyer"," philippe thomas"
"arthur boyer","saskia trescher"
"cristian grozea","barry haddow"
"cristian grozea","madeleine kittner"
"cristian grozea","yvonne lichtblau"
"cristian grozea","pavel pecina"
"cristian grozea","roland roller"
"cristian grozea","rudolf rosa"
"cristian grozea","amy siu"
"cristian grozea"," philippe thomas"
"cristian grozea","saskia trescher"
"barry haddow","madeleine kittner"
"barry haddow","yvonne lichtblau"
"barry haddow","pavel pecina"
"barry haddow","roland roller"
"barry haddow","rudolf rosa"
"barry haddow","amy siu"
"barry haddow"," philippe thomas"
"barry haddow","saskia trescher"
"madeleine kittner","yvonne lichtblau"
"madeleine kittner","pavel pecina"
"madeleine kittner","roland roller"
"madeleine kittner","rudolf rosa"
"madeleine kittner","amy siu"
