"2c6f5a45-7160-4779-b6f3-b6d3df9d00a7","chris heunen|nicolaas p. landsman|bas spitters","heunen, c.|landsman, n. p. |spitters, b."
"16a03a18-38fa-4870-9999-b1a2ee85a2df","saulius lukauskas|roberto visintainer|guido sanguinetti|gabriele schweikert","lukauskas, s.|visintainer, r.|sanguinetti, g.|schweikert, g."
"411e51f3-2cc0-443c-aeb2-d3dfc634bc78","botond cseke|manfred opper|guido sanguinetti","cseke, b.|opper, m. |sanguinetti, g."
"2e9bef76-578b-4ccd-a89a-6936f6950b24","marcus i. marr|murray cole","marr, m. i. |cole, m."
"48676e5d-9d76-482d-83e6-4a5efc8c927e","andy evans|robert b. france|guy genilloud|brian henderson-sellers|perdita stevens","evans, a.|france, r. b.|genilloud, g.|sellers, b. |stevens, p."
"ea6060df-5e14-4670-9594-8e06dc979372","damian markham|elham kashefi","markham, d. |kashefi, e."
"04cc8d28-b54c-40e9-9ec3-6746a37319f8","tarek r. besold|kai-uwe kuehnberger|artur d'avila  garcez|alessandro saffiotti|martin fischer|alan bundy","besold, t. r.|kuehnberger, k|garcez, a. d. a.|saffiotti, a.|fischer, m. |bundy, a."
"fed3d96d-443c-4e85-9167-7f2b2bd5df96","johannes f. de boer|m. c. w. van rossum|meint p. van albada|th. m. nieuwenhuizen|ad lagendijk","boer, j. f. d.|rossum, m. c. w.|albada, m. p. v.|nieuwenhuizen, t. m. |lagendijk, a."
"90077b98-91e7-4657-b130-21251d7c8761","hamutal kreiner|r. shillcock","kreiner, h. |shillcock, r."
"f4293dd4-09a5-420b-b37a-2bd88d45c6e6","loïc dugast|jean senellart|philipp koehn","dugast, l.|senellart, j. |koehn, p."
"fc393df2-bf68-45cd-85ce-9faeb2c9d9b4","christopher cummins|pavlos petoumenos|zheng wang|hugh leather","cummins, c.|petoumenos, p.|wang, z. |leather, h."
"c7a7fc62-2251-441c-86ac-9e0a0a0d39c9","sam lindley|conor mcbride|philip trinder|donald sannella","lindley, s.|mcbride, c.|trinder, p. |sannella, d."
"93c4c74f-ef2b-4a25-a7c1-23d5ef9489d6","c. canevet|s. gilmore|j. hillston|l. kloul|p. stevens","canevet, c.|gilmore, s.|hillston, j.|kloul, l. |stevens, p."
"8b81bb37-fced-4e23-a85d-ff82d715a2a0","jörg behrendt|hecke schrobsdorff|matthias ihrke|michael herrmann|marcus hasselhorn","behrendt, j.|schrobsdorff, h.|ihrke, m.|herrmann, m.|hasselhorn, m."
"04ae7090-49e4-400b-a55e-e7bdbf8668ad","alan bundy","bundy, a."
"e3b5fa1e-f241-4a9e-bf89-c2942b18296a","gerry altmann|mark steedman","altmann, g. |steedman, m."
"cb5a2a2a-1e0b-49b6-8278-22e1c78fbbaa","j. lehmann|alan bundy|m. chan","lehmann, j.|bundy, a.|chan, m."
"3c466c2b-641f-467b-8908-a6c4479dc0f9","alison pease|simon colton|ramin ramezani|alan smaill|markus guhe","pease, a.|colton, s.|ramezani, r.|smaill, a.|guhe, m."
"882bbc85-1d77-46e0-939b-5799cf11d061","parmjeet singh|myungjin lee|sagar kumar|ramana rao kompella","singh, p.|lee, m.|kumar, s. |kompella, r. r."
"3156ab35-984f-4657-b1b4-105b2caf4636","alan bundy|f. van harmelen|c. horn|a. smaill","bundy, a.|harmelen, f.|horn, c. |smaill, a."
"20e71cdb-5e4d-4513-a3b8-7d416e35aeb4","adam lopez|michael nossal|rebecca hwa","lopez, a.|nossal, m. |hwa, r."
"65b28842-db56-4121-be9c-3261277d6e25","marco elver|vijayanand nagarajan","elver, m.|nagarajan, v."
"3dbb133c-d6d8-47ec-aad7-1b4aff38c996","g. chochia|m. cole|t. heywood","chochia, g.|cole, m.|heywood, t."
"3da5caf2-5ed6-4362-9746-326f51d6507f","alex lascarides|nicholas asher","lascarides, a.|asher, n."
"63d3386d-7b14-47d0-a198-9bc08e0d8d65","russell j. jancewicz|aggelos kiayias|laurent d. michel|alexander c. russell|alexander a. shvartsman","jancewicz, r. j.|kiayias, a.|michel, l. d.|russell, a. c. |shvartsman, a. a."
"f2e996aa-85a9-49cd-a7cb-01ccac953627","marcus silva|vincent danos|elham kashefi|harold ollivier","silva, m.|danos, v.|kashefi, e.|ollivier, h."
"acb495cb-c124-4165-9d78-4f9dcf70d53a","james cheney|laura chiticariu|wang chiew tan","cheney, j.|chiticariu, l. |tan, w. c."
"ea52bf57-18e1-4c37-a7e1-ebff1927aad0","james cheney","cheney, j.  "
"36295a10-0b57-48a8-82ac-19d856815a89","nikolaos konstantinou|martin koehler|edward abel|cristina civili|bernd neumayr|emanuel sallinger|alvaro a.a. fernandes|georg gottlob|john a. keane|leonid libkin|norman w. paton","konstantinou, n.|koehler, m.|abel, e.|civili, c.|neumayr, b.|sallinger, e.|fernandes, a. a. a.|gottlob, g.|keane, j. a.|libkin, l.|paton, n. w."
"c9ae4da6-3dfe-4fae-a5d2-b35b8fcd9d41","l. ceccaroni|d. robertson","ceccaroni, l. |robertson, d."
"f37c2988-a5f2-41e1-a36e-a331486b1c9e","federica ciocchetta|adam duguid|stephen gilmore|maria luisa guerriero|jane hillston","ciocchetta, f.|duguid, a.|gilmore, s.|guerriero, m. l.|hillston, j."
"47b3efb7-b9a0-4e4c-b30d-971d10518cff","matthew p. aylett|j. sebastian andersson|leonardo badino|oliver watts","aylett, m. p.|andersson, j. s.|badino, l. |watts, o."
"9e5ddcee-02e7-4980-8685-484446338b2a","jeremy t. bradley|stephen t. gilmore","bradley, j. t. |gilmore, s. t."
"d0acfaab-9a78-48ce-baf3-c188f9340a62","ryan prescott adams|iain murray|david j. c. mackay","adams, r. p.|murray, i.|mackay, d. j. c."
