num_topic,c_v,u_mass
10,0.444709290619114,-2.032462410043542
15,0.481778049127307,-1.9707339724414363
20,0.46963630461264233,-2.1932205410657337
25,0.5191180660893686,-2.1082536634285973
30,0.47117123538441474,-2.5113799657333105
35,0.4931187909863415,-2.4390505532377276
40,0.47823097492355426,-2.966329967660491
50,0.46382193260136795,-3.2641613552739512
