1997,37980
1998,42756
1999,47934
2000,55743
2001,60743
2002,69305
2003,83106
2004,101895
2005,120765
2006,135939
2007,148432
2008,159074
2009,175808
2010,182181
2011,196227
2012,207237
2013,214892
2014,223664
2015,227225
2016,232456
2017,81735
